#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
429866.2347082276,-81.07062862954004,5993.524124002265,-38145.89897645638
464158.8833612778,-81.43038352230195,5358.460845105546,-35558.69561800188
501187.2336272722,-81.87476856587588,4797.611259189391,-33603.68406578682
541169.5265464637,-82.24373733814727,4225.410736936748,-31022.35345900351
584341.4133735176,-82.70103779655612,3692.920204421326,-28831.89556504339
630957.3444801933,-83.11898732156739,3247.148061976136,-26907.74784137475
681292.0690579616,-83.48895962397121,2857.684143438777,-25038.67510900115
735642.2544596414,-83.83662560532333,2514.456602710138,-23284.58676144076
794328.2347242818,-84.29414506666376,2162.414473159208,-21642.22108194074
857695.8985908937,-84.57355883400272,1913.231322191042,-20140.66348749069
926118.7281287938,-84.95901935425651,1652.064334140279,-18728.88558648104
1000000,-85.23731519688832,1449.118911045608,-17392.93685380026
1079775.162327709,-85.54997670797793,1257.198942268318,-16154.36407388254
1165914.401179832,-85.97198744592568,1055.280714209669,-14985.92341401289
1258925.411794167,-86.17983356737791,929.0368422013872,-13913.2653076541
1359356.390878526,-86.3530963921737,823.0173237986371,-12912.79546225234
1467799.26762207,-86.73330561289762,684.3827770687755,-11990.63709892045
1584893.192461113,-86.96868694218868,588.4064130003876,-11111.27164976435
1711328.304161781,-87.18711096491232,505.8654393354636,-10295.70114392331
1847849.797422292,-87.35267429074968,441.123277541223,-9540.387703198141
1995262.314968879,-87.55785827402151,377.2140487228598,-8844.565725033544
2154434.690031885,-87.82641499688413,311.676093795786,-8211.851487620537
2326305.067153625,-87.88379112013543,280.7902035299683,-7598.861053487735
2511886.43150958,-88.02896047779947,242.3296490181404,-7041.456255731935
2712272.579332029,-88.18301848725071,207.1320799552022,-6529.408950715868
2928644.564625236,-88.28126600178268,181.4014327113291,-6045.390828630886
3162277.66016838,-88.4209601751887,154.4391388137174,-5602.436573724835
3414548.8738336,-88.53972332251898,132.2993971660821,-5189.808102456821
3686945.064519575,-88.6733060218843,111.3773431660638,-4809.180763154611
3981071.705534974,-88.74142805291639,97.9275329987187,-4457.378766193736
4298662.347082276,-88.88224280815669,80.66820638550037,-4134.494897738899
4641588.83361278,-88.91782055987009,72.39609273623641,-3832.541211209622
5011872.33627272,-89.02506986392304,60.48304967372788,-3554.192130701679
5411695.265464636,-89.1261646926536,50.27924095925973,-3296.46206456218
5843414.133735179,-89.20166666075112,42.65788190241306,-3061.325769376109
6309573.44480193,-89.34613978079767,32.47618148591626,-2845.665328623651
6812920.690579614,-89.62737594150755,17.28499251948941,-2657.75420305305
7356422.544596417,-91.46374542443768,-63.41571904514163,-2481.758435119951
7943282.347242814,-91.34354330157721,-52.33315637310199,-2231.353003809042
8576958.985908944,-90.55253159500815,-19.6123272001194,-2033.673279940477
9261187.281287931,-90.33857773012903,-11.20333332833166,-1895.860794557348
10000000,-90.03213834861344,-0.9835112997206624,-1753.389427231105
